DATE,MORTGAGE30US
8/1/2018,4.55
9/1/2018,4.6275
10/1/2018,4.83
11/1/2018,4.866
12/1/2018,4.6375
1/1/2019,4.464
2/1/2019,4.37
3/1/2019,4.265
4/1/2019,4.1425
5/1/2019,4.072
6/1/2019,3.8025
7/1/2019,3.765
8/1/2019,3.616
9/1/2019,3.605
10/1/2019,3.688
11/1/2019,3.695
12/1/2019,3.72
1/1/2020,3.624
2/1/2020,3.465
3/1/2020,3.45
4/1/2020,3.306
5/1/2020,3.2325
6/1/2020,3.1625
7/1/2020,3.016
8/1/2020,2.935
9/1/2020,2.89
10/1/2020,2.834
11/1/2020,2.765
12/1/2020,2.684
1/1/2021,2.735
2/1/2021,2.81
3/1/2021,3.0825
4/1/2021,3.06
5/1/2021,2.9625
6/1/2021,2.975
7/1/2021,2.868
8/1/2021,2.8425
9/1/2021,2.9
10/1/2021,3.0675
11/1/2021,3.0675
12/1/2021,3.098
1/1/2022,3.445
2/1/2022,3.7625
3/1/2022,4.172
4/1/2022,4.9825
5/1/2022,5.23
6/1/2022,5.522
7/1/2022,5.4125
8/1/2022,5.2225
9/1/2022,6.112
10/1/2022,6.9
11/1/2022,6.805
12/1/2022,6.364
1/1/2023,6.2725
2/1/2023,6.2575
3/1/2023,6.544
4/1/2023,6.3425
5/1/2023,6.425
6/1/2023,6.714
