Date, Population, Annual Change
12/31/1950,709000,
12/31/1951,744000,4.94
12/31/1952,782000,5.11
12/31/1953,821000,4.99
12/31/1954,861000,4.87
12/31/1955,904000,4.99
12/31/1956,950000,5.09
12/31/1957,997000,4.95
12/31/1958,1047000,5.02
12/31/1959,1099000,4.97
12/31/1960,1151000,4.73
12/31/1961,1196000,3.91
12/31/1962,1243000,3.93
12/31/1963,1292000,3.94
12/31/1964,1343000,3.95
12/31/1965,1396000,3.95
12/31/1966,1451000,3.94
12/31/1967,1508000,3.93
12/31/1968,1568000,3.98
12/31/1969,1630000,3.95
12/31/1970,1693000,3.87
12/31/1971,1756000,3.72
12/31/1972,1821000,3.7
12/31/1973,1888000,3.68
12/31/1974,1958000,3.71
12/31/1975,2030000,3.68
12/31/1976,2105000,3.69
12/31/1977,2183000,3.71
12/31/1978,2264000,3.71
12/31/1979,2348000,3.71
12/31/1980,2424000,3.24
12/31/1981,2469000,1.86
12/31/1982,2515000,1.86
12/31/1983,2562000,1.87
12/31/1984,2610000,1.87
12/31/1985,2658000,1.84
12/31/1986,2708000,1.88
12/31/1987,2758000,1.85
12/31/1988,2810000,1.89
12/31/1989,2862000,1.85
12/31/1990,2922000,2.1
12/31/1991,3003000,2.77
12/31/1992,3087000,2.8
12/31/1993,3174000,2.82
12/31/1994,3262000,2.77
12/31/1995,3353000,2.79
12/31/1996,3447000,2.8
12/31/1997,3543000,2.79
12/31/1998,3642000,2.79
12/31/1999,3744000,2.8
12/31/2000,3847000,2.75
12/31/2001,3947000,2.6
12/31/2002,4050000,2.61
12/31/2003,4156000,2.62
12/31/2004,4264000,2.6
12/31/2005,4375000,2.6
12/31/2006,4489000,2.61
12/31/2007,4606000,2.61
12/31/2008,4727000,2.63
12/31/2009,4850000,2.6
12/31/2010,4976000,2.6
12/31/2011,5106000,2.61
12/31/2012,5239000,2.6
12/31/2013,5376000,2.62
12/31/2014,5516000,2.6
12/31/2015,5660000,2.61
12/31/2016,5807000,2.6
12/31/2017,5959000,2.62
12/31/2018,6115000,2.62
12/31/2019,6245000,2.13
12/31/2020,6371000,2.02
12/31/2021,6491000,1.88
12/31/2022,6603000,1.73
12/31/2023,6707000,1.58
12/31/2024,6802000,1.42
12/31/2025,6890000,1.29
12/31/2026,6971000,1.18
12/31/2027,7046000,1.08
12/31/2028,7118000,1.02
12/31/2029,7187000,0.97
12/31/2030,7254000,0.93
12/31/2031,7319000,0.9
12/31/2032,7383000,0.87
12/31/2033,7446000,0.85
12/31/2034,7508000,0.83
12/31/2035,7569000,0.81
